"Ano/mes atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"2008";474;591;436;192;583;1432;957;791;614;491;411;209;7181
"Janeiro/2008";48;71;45;18;38;144;83;72;53;38;33;18;661
"Fevereiro/2008";42;50;44;14;63;126;79;54;48;28;23;13;584
"Marco/2008";62;81;49;15;53;135;87;70;55;44;28;16;695
"Abril/2008";52;52;47;27;55;130;87;64;46;34;43;11;648
"Maio/2008";43;43;35;19;58;121;84;66;57;36;37;21;620
"Junho/2008";32;40;31;13;53;131;74;63;50;42;42;21;592
"Julho/2008";38;66;47;19;48;111;85;78;44;47;40;11;634
"Agosto/2008";39;47;38;12;46;91;85;69;50;37;26;21;561
"Setembro/2008";39;45;32;10;35;108;71;68;51;58;37;27;581
"Outubro/2008";36;43;22;15;44;111;73;74;53;40;39;20;570
"Novembro/2008";17;23;17;10;41;108;74;54;56;49;34;14;497
"Dezembro/2008";26;30;29;20;49;116;75;59;51;38;29;16;538
"2009";418;353;281;203;574;1310;961;789;682;548;471;227;6817
"Janeiro/2009";35;32;21;14;62;108;88;74;59;37;37;9;576
"Fevereiro/2009";31;35;18;13;50;91;79;57;45;35;37;22;513
"Marco/2009";38;29;28;15;64;123;90;78;52;62;48;19;646
"Abril/2009";45;17;21;12;46;113;83;55;58;32;36;20;538
"Maio/2009";46;28;25;15;36;109;86;49;50;51;36;14;545
"Junho/2009";37;21;14;17;41;120;80;61;56;45;39;22;553
"Julho/2009";40;30;26;21;55;119;66;73;55;49;47;23;604
"Agosto/2009";38;33;34;19;47;116;87;60;66;57;45;29;631
"Setembro/2009";36;43;21;24;52;108;89;78;70;56;38;25;640
"Outubro/2009";21;27;21;12;38;107;83;78;59;50;45;15;556
"Novembro/2009";29;28;25;21;41;92;60;66;58;41;39;13;513
"Dezembro/2009";22;30;27;20;42;104;70;60;54;33;24;16;502
"2010";439;346;263;199;633;1505;1018;791;742;642;516;263;7357
"Janeiro/2010";33;30;20;13;44;101;81;69;46;46;49;18;550
"Fevereiro/2010";34;23;27;23;50;130;80;58;74;50;42;27;618
"Marco/2010";56;40;29;25;60;155;93;77;66;52;40;30;723
"Abril/2010";47;25;23;24;55;143;97;74;90;63;55;24;720
"Maio/2010";51;32;20;18;71;135;82;79;74;54;38;26;680
"Junho/2010";32;20;20;10;51;104;91;70;48;52;44;19;561
"Julho/2010";40;16;22;15;44;139;81;68;49;47;43;19;583
"Agosto/2010";19;33;16;13;49;130;85;74;57;56;42;18;592
"Setembro/2010";26;29;16;15;42;133;84;64;57;56;43;15;580
"Outubro/2010";31;26;26;13;55;120;67;56;55;60;48;21;578
"Novembro/2010";34;34;24;13;48;99;95;50;59;60;41;22;579
"Dezembro/2010";36;38;20;17;64;116;82;52;67;46;31;24;593
"2011";460;371;211;192;575;1563;1105;706;732;667;509;270;7361
"Janeiro/2011";38;35;25;15;60;134;101;62;62;50;48;23;653
"Fevereiro/2011";32;26;14;16;48;115;92;52;63;54;46;19;577
"Marco/2011";51;25;19;17;52;139;99;49;46;54;40;18;609
"Abril/2011";46;32;14;18;36;125;87;60;68;55;41;23;605
"Maio/2011";45;31;13;20;43;130;89;59;54;61;43;29;617
"Junho/2011";37;31;16;14;42;128;89;61;76;58;40;29;621
"Julho/2011";48;48;18;17;42;140;77;56;70;74;46;20;656
"Agosto/2011";33;29;17;15;48;128;93;72;58;62;48;28;631
"Setembro/2011";32;24;20;17;37;114;82;62;68;46;39;22;563
"Outubro/2011";34;36;18;19;56;164;102;71;58;47;46;24;675
"Novembro/2011";32;34;25;16;47;113;102;52;58;58;44;18;599
"Dezembro/2011";32;20;12;8;64;133;92;50;51;48;28;17;555
"2012";476;339;235;162;542;1582;1141;659;640;690;504;238;7208
"Janeiro/2012";35;25;26;10;46;136;111;49;60;66;36;16;616
"Fevereiro/2012";43;38;20;11;43;129;92;49;52;56;31;17;581
"Marco/2012";49;31;29;16;55;136;134;57;57;68;48;18;698
"Abril/2012";56;36;12;17;43;141;88;69;69;50;43;17;641
"Maio/2012";50;28;21;14;45;144;86;70;66;71;55;22;672
"Junho/2012";29;38;16;14;41;161;94;58;68;47;44;14;624
"Julho/2012";40;32;23;9;50;132;113;50;52;64;53;29;647
"Agosto/2012";35;25;21;18;54;123;86;55;53;52;45;23;590
"Setembro/2012";41;20;19;13;35;126;86;39;35;41;26;24;505
"Outubro/2012";37;29;14;16;51;134;88;71;44;62;45;20;611
"Novembro/2012";35;23;20;12;40;117;81;49;44;59;45;21;546
"Dezembro/2012";26;14;14;12;39;103;82;43;40;54;33;17;477
"2013";363;223;194;140;491;1198;732;427;410;388;330;200;5096
"Janeiro/2013";30;16;18;12;59;122;68;39;50;49;35;20;518
"Fevereiro/2013";27;19;21;6;41;117;62;50;37;28;26;12;446
"Marco/2013";38;14;22;10;53;126;89;61;42;33;24;12;524
"Abril/2013";36;17;15;16;33;91;44;24;23;20;13;9;341
"Maio/2013";31;21;13;8;35;84;58;31;25;25;26;16;373
"Junho/2013";32;18;11;10;38;97;45;35;36;27;27;18;394
"Julho/2013";23;14;21;14;33;104;57;28;17;29;35;26;401
"Agosto/2013";32;15;7;13;37;112;53;26;32;29;26;20;402
"Setembro/2013";32;18;17;11;39;83;64;28;28;37;25;21;403
"Outubro/2013";24;22;18;13;51;90;56;33;41;26;36;15;425
"Novembro/2013";28;23;19;8;33;81;69;40;39;54;33;16;443
"Dezembro/2013";30;26;12;19;39;91;67;32;40;31;24;15;426
"2014";497;317;183;124;473;1302;820;473;445;432;386;204;5656
"Janeiro/2014";27;26;25;14;39;122;66;54;35;25;41;15;489
"Fevereiro/2014";31;18;16;11;47;103;77;42;29;23;27;16;440
"Marco/2014";38;24;16;9;49;111;67;40;53;45;49;30;531
"Abril/2014";48;28;10;9;41;124;64;36;31;40;29;22;482
"Maio/2014";66;30;14;6;28;129;79;45;36;35;36;13;517
"Junho/2014";40;31;13;9;45;107;64;31;39;44;28;16;467
"Julho/2014";43;26;18;12;45;103;77;42;45;44;28;15;498
"Agosto/2014";50;23;10;11;42;117;59;58;27;42;27;23;489
"Setembro/2014";36;26;17;19;42;99;65;37;40;38;37;16;472
"Outubro/2014";29;37;12;9;19;97;81;36;45;37;37;15;454
"Novembro/2014";39;28;17;4;33;105;51;35;36;34;26;14;422
"Dezembro/2014";50;20;15;11;43;85;70;17;29;25;21;9;395
"2015";686;242;178;115;459;1235;751;378;413;406;305;199;5367
"Janeiro/2015";47;18;8;8;51;108;68;31;29;31;22;22;443
"Fevereiro/2015";41;16;6;7;29;102;55;19;27;23;30;15;370
"Marco/2015";44;28;18;15;44;115;64;35;52;40;32;14;501
"Abril/2015";77;27;24;10;40;117;72;44;41;40;34;18;544
"Maio/2015";80;28;20;12;37;117;90;55;46;40;34;15;574
"Junho/2015";63;18;23;16;34;113;82;38;37;44;35;18;521
"Julho/2015";57;22;9;9;46;88;72;26;41;19;24;22;435
"Agosto/2015";67;21;15;13;36;103;47;29;32;25;16;17;421
"Setembro/2015";52;20;9;7;29;95;49;25;25;33;17;15;376
"Outubro/2015";55;15;13;6;39;75;45;20;21;28;15;17;349
"Novembro/2015";48;11;13;6;37;102;42;26;35;35;24;13;392
"Dezembro/2015";55;18;20;6;37;100;65;30;27;48;22;13;441
"2016";321;89;62;46;218;562;340;179;147;150;103;90;2307
"Janeiro/2016";35;14;15;10;34;96;52;34;36;32;22;17;397
"Fevereiro/2016";40;14;14;5;36;88;59;29;32;28;20;15;380
"Marco/2016";65;23;13;11;40;108;59;44;29;31;14;17;454
"Abril/2016";64;12;9;9;46;99;64;29;25;14;13;14;398
"Maio/2016";55;20;6;7;29;71;45;23;13;15;22;13;319
"Junho/2016";24;4;5;1;10;41;19;8;6;8;3;6;135
"Julho/2016";23;2;-;1;14;46;25;6;4;8;4;2;135
"Agosto/2016";10;-;-;1;6;11;10;4;-;8;4;3;57
"Setembro/2016";4;-;-;-;2;-;4;-;1;3;1;1;16
"Outubro/2016";1;-;-;1;1;2;3;2;1;2;-;1;14
"Novembro/2016";-;-;-;-;-;-;-;-;-;1;-;1;2
"2017";12;4;5;3;21;58;31;15;21;17;16;8;211
"Dezembro/2017";12;4;5;3;21;58;31;15;21;17;16;8;211
"2018";419;157;110;99;289;957;689;364;398;405;295;201;4383
"Janeiro/2018";30;5;7;8;14;67;53;21;37;23;13;11;289
"Fevereiro/2018";33;5;11;10;27;80;39;24;29;25;19;9;311
"Marco/2018";44;22;10;15;20;88;54;37;32;34;18;15;389
"Abril/2018";46;12;13;8;25;75;47;34;29;27;22;22;360
"Maio/2018";32;19;10;6;22;69;39;29;26;33;21;20;326
"Junho/2018";34;15;4;7;31;73;64;31;25;33;20;21;358
"Julho/2018";35;12;8;9;35;98;53;23;37;26;31;15;382
"Agosto/2018";34;16;8;8;35;62;54;44;34;32;21;24;372
"Setembro/2018";27;20;8;9;15;73;68;32;42;41;36;16;387
"Outubro/2018";35;18;12;11;21;78;60;34;28;43;24;16;380
"Novembro/2018";31;4;10;6;25;105;74;36;37;51;31;12;422
"Dezembro/2018";38;9;9;2;19;89;84;19;42;37;39;20;407
"2019";414;192;169;82;344;1041;826;436;520;459;327;207;5017
"Janeiro/2019";36;11;14;6;26;81;68;32;55;58;41;16;444
"Fevereiro/2019";20;20;10;4;25;73;77;28;48;32;30;15;382
"Marco/2019";34;16;9;6;38;106;70;31;32;26;27;10;405
"Abril/2019";60;11;21;6;43;94;87;28;36;45;18;5;454
"Maio/2019";44;26;14;9;15;85;78;44;43;44;28;21;451
"Junho/2019";38;9;13;5;23;70;65;28;35;22;22;14;344
"Julho/2019";32;14;17;9;27;87;63;38;52;49;18;27;433
"Agosto/2019";18;18;18;6;25;96;61;31;45;36;32;26;412
"Setembro/2019";30;14;14;8;29;80;64;45;30;38;27;24;403
"Outubro/2019";39;21;16;11;32;92;70;43;55;38;25;21;463
"Novembro/2019";31;18;16;5;31;85;55;53;51;37;36;16;434
"Dezembro/2019";32;14;7;7;30;92;68;35;38;34;23;12;392
"2020";486;91;104;94;340;1182;907;506;539;516;367;176;5308
"Janeiro/2020";32;17;8;6;17;121;89;38;44;35;34;13;454
"Fevereiro/2020";31;9;7;9;29;119;55;28;44;40;39;10;420
"Marco/2020";42;7;4;9;21;110;96;31;35;40;23;10;428
"Abril/2020";52;4;9;6;29;109;71;25;29;38;17;11;400
"Maio/2020";48;3;7;5;30;103;82;39;38;30;21;13;419
"Junho/2020";35;15;7;6;32;67;66;35;42;37;23;15;380
"Julho/2020";42;11;15;11;24;85;70;43;48;34;30;21;434
"Agosto/2020";40;2;9;5;39;80;63;46;49;56;33;12;434
"Setembro/2020";49;3;9;9;35;86;91;47;44;52;29;12;466
"Outubro/2020";50;4;9;12;30;94;86;56;58;52;39;10;500
"Novembro/2020";28;8;11;10;29;96;76;49;57;51;39;24;478
"Dezembro/2020";37;8;9;6;25;112;62;69;51;51;40;25;495
"2021";411;115;105;91;284;1005;898;475;673;701;482;275;5515
"Janeiro/2021";33;10;7;9;24;91;63;37;51;52;30;22;429
"Fevereiro/2021";37;8;6;9;16;78;76;29;63;57;32;21;432
"Marco/2021";42;8;10;10;25;95;80;36;56;58;50;19;489
"Abril/2021";41;10;7;3;24;92;73;31;43;50;46;18;438
"Maio/2021";40;6;8;7;28;75;87;44;50;58;42;21;466
"Junho/2021";32;6;9;10;29;80;72;39;46;56;31;17;427
"Julho/2021";28;6;11;6;28;66;68;44;57;65;36;24;439
"Agosto/2021";37;8;6;7;18;86;74;31;75;54;48;26;470
"Setembro/2021";37;16;12;5;22;93;69;46;55;51;40;18;464
"Outubro/2021";29;13;15;6;22;101;87;52;58;61;45;38;527
"Novembro/2021";21;14;9;6;27;75;80;42;66;64;46;27;477
"Dezembro/2021";34;10;5;13;21;73;69;44;53;75;36;24;457
"2022";387;107;127;104;216;927;732;577;593;593;434;214;5011
"Janeiro/2022";37;7;7;8;24;77;61;46;33;58;43;19;420
"Fevereiro/2022";29;6;11;12;16;75;61;38;35;36;29;18;366
"Marco/2022";42;7;10;6;25;88;69;58;57;59;34;17;472
"Abril/2022";36;9;10;5;20;76;59;47;53;64;33;16;428
"Maio/2022";30;8;10;19;26;77;65;44;53;57;24;23;436
"Junho/2022";25;15;6;20;20;68;77;46;30;55;34;19;415
"Julho/2022";37;6;18;3;18;82;65;56;67;50;45;18;465
"Agosto/2022";32;15;19;8;15;89;74;48;53;50;45;12;460
"Setembro/2022";23;8;11;5;15;64;69;60;59;46;51;19;430
"Outubro/2022";32;12;13;7;11;75;48;44;67;43;43;13;408
"Novembro/2022";28;6;8;7;12;68;40;53;46;40;34;16;358
"Dezembro/2022";36;8;4;4;14;88;44;37;40;35;19;24;353
"2023";330;106;114;77;224;935;765;479;473;565;423;258;4749
"Janeiro/2023";31;6;9;15;17;71;54;54;32;40;28;18;375
"Fevereiro/2023";24;4;2;7;14;69;61;41;31;35;27;14;329
"Marco/2023";33;8;7;4;21;89;63;28;33;38;44;27;395
"Abril/2023";29;9;8;1;15;77;61;34;44;27;26;19;350
"Maio/2023";28;13;12;4;16;97;66;28;35;44;32;32;407
"Junho/2023";34;8;11;10;21;72;52;54;38;61;31;29;421
"Julho/2023";23;14;3;6;17;82;63;35;37;49;36;18;383
"Agosto/2023";20;10;12;8;14;97;54;52;48;50;36;18;419
"Setembro/2023";22;14;16;5;17;56;73;32;46;52;42;15;390
"Outubro/2023";29;7;11;4;24;83;79;42;46;50;41;29;445
"Novembro/2023";35;7;10;6;24;78;67;46;46;59;46;22;446
"Dezembro/2023";22;6;13;7;24;64;72;33;37;60;34;17;389
"Total";6604;3654;2786;1929;6271;17814;12682;8058;8054;7675;5884;3246;84657
